brand;model;3G_bands;4G_bands;network_speed;GPRS;EDGE;announced;dimentions;weight_g;weight_oz;display_resolution;display_size;OS;CPU;GPU;internal_memory;primary_camera;secondary_camera;USB;battery;colors;approx_price_EUR;img_url
Acer;Iconia Talk S;HSDPA 850 / 1900 / 2100 ;LTE band 1(2100)| 3(1800)| 7(2600)| 8(900)| 20(800);HSPA 42.2/11.5 Mbps  LTE Cat4 150/50 Mbps;Yes;Yes;2016  August;191.7 x 101 x 9.4 mm (7.55 x 3.98 x 0.37 in);260;917;7.0 inches (~69.8% screen-to-body ratio);720 x 1280 pixels (~210 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;16/32 GB;13 MP| autofocus;2 MP| 720p;microUSB 2.0;Non-removable Li-Ion 3400 mAh battery (12.92 Wh);Black;170;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-talk-s.jpg
Acer;Liquid Z6 Plus; HSDPA; LTE;HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps;Yes;Yes;2016  August;153.8 x 75.6 x 8.5 mm (6.06 x 2.98 x 0.33 in);169;596;5.5 inches (~71.7% screen-to-body ratio);1080 x 1920 pixels (~401 ppi pixel density);Android 6.0 (Marshmallow);Octa-core 1.3 GHz Cortex-A53;Mali-T720MP3;32 GB;13 MP| autofocus| LED flash;5 MP;microUSB 2.0;Removable Li-Po 4080 mAh battery;Black| White;250;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z6-plus.jpg
Acer;Liquid Z6; HSDPA; LTE;HSPA  LTE;Yes;Yes;2016  August;-;;;5.0 inches;720 x 1280 pixels (~294 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.25 GHz Cortex-A53;Mali-T720MP2;8 GB;8 MP| autofocus| LED flash;2 MP;microUSB 2.0;Removable Li-Ion 2000 mAh battery;Black| White;120;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z6.jpg
Acer;Iconia Tab 10 A3-A40;;;;No;No;2016  April;259 x 167 x 8.9 mm (10.20 x 6.57 x 0.35 in);;;10.1 inches (~68.4% screen-to-body ratio);1920 x 1200 pixels (~224 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz Cortex-A53;Mali-T720 MP2;16/32/64 GB;5 MP;2 MP;microUSB 2.0;Non-removable Li-Ion battery;Black;230;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a40.jpg
Acer;Liquid X2;HSDPA 900 / 1900 / 2100 - Europe| Taiwan; LTE 800 / 1800 / 2100 / 2600 - Europe;HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps;Yes;Yes;2015  April;153.3 x 78.8 x 8.5 mm (6.04 x 3.10 x 0.33 in);166;586;5.5 inches (~69.0% screen-to-body ratio);720 x 1280 pixels (~267 ppi pixel density);Android 5.1 (Lollipop);Octa-core 1.3 GHz Cortex-A53;Mali-T720MP4;32 GB;13 MP| f/1.8| autofocus| LED flash| ;13 MP| f/1.8| autofocus| LED flash;microUSB 2.0;Removable Li-Po 4020 mAh battery;Black| Gold;230;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-x2-1.jpg
Acer;Liquid Jade 2;HSDPA 900 / 2100 ; LTE;HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps;Yes;Yes;2016  February;-;;;5.5 inches;1080 x 1920 pixels (~401 ppi pixel density);Android 6.0 (Marshmallow);Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57);;32 GB;21 MP| autofocus| dual-LED flash;8 MP;microUSB 2.0;;Black;;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-2.jpg
Acer;Liquid Zest Plus; HSDPA; LTE;HSPA  LTE;Yes;Yes;2016  April;154 x 77 x 10 mm (6.06 x 3.03 x 0.39 in);;;5.5 inches (~70.3% screen-to-body ratio);720 x 1280 pixels (~267 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;16 GB;13 MP| phase detection/laser autofocus| LED flash;5 MP;microUSB 2.0;Non-removable Li-Ion 5000 mAh battery;Blue| White;200;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-zest-plus-z628.jpg
Acer;Liquid Zest;HSDPA 850 / 900 / 1900 / 2100 ; LTE;HSPA  LTE Cat4 150/50 Mbps;Yes;Yes;2016  February;145.7 x 71.2 x 8.4 mm (5.74 x 2.80 x 0.33 in);125;441;5.0 inches (~66.4% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz - Z525;Mali-400MP2 - Z525;8 GB;8 MP| f/2.0| autofocus| LED flash;5 MP;microUSB 2.0;Removable Li-Ion 2000 mAh battery;Black| White;110;http://cdn2.gsmarena.com/vv/bigpic/acer-zest.jpg
Acer;Predator 8;;;;No;No;2015  September;217.9 x 127 x 8.6 mm (8.58 x 5.0 x 0.34 in);3538;1249;8.0 inches (~67.1% screen-to-body ratio);1920 x 1200 pixels (~283 ppi pixel density);Android 5.0 (Lollipop);Quad-core 1.6 GHz;;32/64 GB;5 MP;2 MP;microUSB 2.0;Non-removable Li-Po 4420 mAh battery;Black/Silver;350;http://cdn2.gsmarena.com/vv/bigpic/acer-predator-8.jpg
Acer;Liquid Jade Primo;HSDPA 850 / 900 / 1900 / 2100 - Europe/ Taiwan; LTE 800 / 1800 / 2100 / 2600 - Europe;HSPA 42.2/5.76 Mbps  LTE-A (2CA) Cat6 300/50 Mbps;Yes;Yes;2015  September;156.5 x 75.9 x 8.4 mm (6.16 x 2.99 x 0.33 in);150;529;5.5 inches (~70.2% screen-to-body ratio);1080 x 1920 pixels (~401 ppi pixel density);Microsoft Windows 10;Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57);Adreno 418;32 GB;21 MP| f/2.2| autofocus| dual-LED flash| ;8 MP| f/2.2| 1080p@30fps;3.1| Type-C 1.0 reversible connector;Non-removable Li-Po 2870 mAh battery;Black;220;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-primo-.jpg
